Name	Item	Piece	logNaO	logMgO	logAlO	logSiO	logKO	logCaO	logFeO
control_1  1	1	-0.7231	-1.3352	-2.1433	-0.1633	-2.7331	-0.9099	-5.6874
control_1	1	2	-0.7287	-1.3588	-2.2121	-0.1655	-2.4851	-0.9125	-5.3882
control_1	1	3	-0.7305	-1.3379	-2.1696	-0.1647	-2.5742	-0.905	-5.6882
control_1	1	4	-0.7245	-1.3369	-2.1634	-0.1797	-2.7406	-0.9413	-5.6949
control_1	1	5	-0.7231	-1.353	-2.2163	-0.1755	-2.6143	-0.9353	-5.3924
control_1	1	6	-0.7255	-1.3721	-2.2814	-0.1819	-2.5824	-0.9352	-5.6964
control_1	1	7	-0.7306	-1.3747	-2.2737	-0.2018	-2.559	-0.9703	-5.7051
control_1	1	8	-0.7257	-1.3651	-2.2603	-0.2092	-2.5614	-0.984	-5.4065
control_1	1	9	-0.722	-1.36	-2.2612	-0.2082	-2.7083	-0.989	-5.7083
control_1	1	10	-0.7409	-1.373	-2.3095	-0.1992	-5.7075	-0.9865	-5.7075
control_1	1	11	-0.7385	-1.3607	-2.2901	-0.196	-5.7051	-0.9776	-5.4041
control_1	1	12	-0.7429	-1.3652	-2.1742	-0.1973	-5.4047	-0.9757	-5.7057
