Name	Item	Piece	logNaO	logMgO	logAlO	logSiO	logKO	logCaO	logFeO
recovered_1  1	1	-0.7038	-1.3388	-2.1741	-0.1559	-5.3782	-0.8532	-5.6792
recovered_1	1	2	-0.6941	-1.3347	-2.2167	-0.1535	-5.6791	-0.853	-5.378
recovered_1	1	3	-0.6952	-1.3366	-2.1719	-0.1532	-5.6771	-0.8478	-5.6771
recovered_1	1	4	-0.688	-1.2973	-2.0658	-0.0899	-5.3446	-0.7442	-5.6456
recovered_1	1	5	-0.694	-1.3145	-2.1114	-0.0836	-5.6429	-0.7243	-5.3418
recovered_1	1	6	-0.689	-1.3162	-2.0314	-0.1059	-5.6547	-0.7796	-5.6547
recovered_1	1	7	-0.6905	-1.3489	-2.0759	-0.2039	-5.6991	-0.9395	-5.6991
recovered_1	1	8	-0.7059	-1.3267	-2.0692	-0.1006	-5.3479	-0.7084	-5.3479
recovered_1	1	9	-0.6911	-1.347	-2.1212	-0.1838	-5.6894	-0.8798	-5.6894
recovered_1	1	10	-0.6767	-1.3062	-2.1569	-0.151	-5.6754	-0.8638	-5.6754
recovered_1	1	11	-0.6824	-1.3365	-2.1107	-0.1585	-5.3779	-0.8666	-5.3779
recovered_1	1	12	-0.6819	-1.3164	-2.0852	-0.1526	-5.6762	-0.864	-5.6762
recovered_2  2	1	-0.7254	-1.3489	-2.1627	-0.2089	-2.7068	-0.9825	-5.7068
recovered_2	2	2	-0.7244	-1.3664	-2.262	-0.2517	-2.683	-1.0607	-5.4233
recovered_2	2	3	-0.7336	-1.3765	-2.3247	-0.2003	-2.7049	-0.9622	-5.7049
recovered_2	2	4	-0.7398	-1.3723	-2.308	-0.1625	-2.433	-0.8896	-5.6882
recovered_2	2	5	-0.7294	-1.3574	-2.3888	-0.167	-2.4857	-0.9059	-5.3888
recovered_2	2	6	-0.7339	-1.3717	-2.2727	-0.162	-2.409	-0.8939	-5.6877
recovered_2	2	7	-0.7304	-1.3711	-2.2946	-0.2127	-2.5956	-0.9869	-5.7095
recovered_2	2	8	-0.7243	-1.3667	-2.2902	-0.2026	-2.5291	-0.9793	-5.4041
recovered_2	2	9	-0.7232	-1.3679	-2.2914	-0.2059	-2.5023	-0.9854	-5.7064
recovered_2	2	10	-0.7214	-1.3499	-2.3558	-0.1863	-2.4941	-0.9578	-5.6982
recovered_2	2	11	-0.7235	-1.3502	-2.327	-0.1651	-2.4582	-0.9134	-5.3877
recovered_2	2	12	-0.7228	-1.3554	-2.4733	-0.1994	-2.5276	-0.9721	-5.7037
