Name	Item	Piece	logNaO	logMgO	logAlO	logSiO	logKO	logCaO	logFeO
recovered_1  1	1	-0.7038	-1.3388	-2.1741	-0.1559	-5.3782	-0.8532	-5.6792
recovered_1	1	2	-0.6941	-1.3347	-2.2167	-0.1535	-5.6791	-0.853	-5.378
recovered_1	1	3	-0.6952	-1.3366	-2.1719	-0.1532	-5.6771	-0.8478	-5.6771
recovered_1	1	4	-0.688	-1.2973	-2.0658	-0.0899	-5.3446	-0.7442	-5.6456
recovered_1	1	5	-0.694	-1.3145	-2.1114	-0.0836	-5.6429	-0.7243	-5.3418
recovered_1	1	6	-0.689	-1.3162	-2.0314	-0.1059	-5.6547	-0.7796	-5.6547
recovered_1	1	7	-0.6905	-1.3489	-2.0759	-0.2039	-5.6991	-0.9395	-5.6991
recovered_1	1	8	-0.7059	-1.3267	-2.0692	-0.1006	-5.3479	-0.7084	-5.3479
recovered_1	1	9	-0.6911	-1.347	-2.1212	-0.1838	-5.6894	-0.8798	-5.6894
recovered_1	1	10	-0.6767	-1.3062	-2.1569	-0.151	-5.6754	-0.8638	-5.6754
recovered_1	1	11	-0.6824	-1.3365	-2.1107	-0.1585	-5.3779	-0.8666	-5.3779
recovered_1	1	12	-0.6819	-1.3164	-2.0852	-0.1526	-5.6762	-0.864	-5.6762
