Name	Item	Piece	logNaO	logMgO	logAlO	logSiO	logKO	logCaO	logFeO
s1	1	1	-0.6603	-1.4683	-1.4683	-0.1463	-1.7047	-1.1096	-5.6778
s1	1	2	-0.6658	-1.4705	-1.4814	-0.1429	-1.7183	-1.1115	-5.3763
s1	1	3	-0.656	-1.4523	-1.4789	-0.1477	-1.6864	-1.1118	-5.6776
s1	1	4	-0.6309	-1.4707	-1.5121	-0.1823	-1.7743	-1.1306	-2.609
s1	1	5	-0.6332	-1.4516	-1.4996	-0.1792	-1.7577	-1.1332	-5.6871
s1	1	6	-0.6315	-1.4641	-1.4883	-0.171	-1.7548	-1.1291	-5.6842
s1	1	7	-0.642	-1.4437	-1.4708	-0.1165	-1.6789	-1.0358	-2.4307
s1	1	8	-0.6431	-1.4692	-1.4664	-0.1048	-1.6568	-1.0094	-5.656
s1	1	9	-0.658	-1.4698	-1.4612	-0.0843	-1.5881	-0.9888	-5.6488
s1	1	10	-0.6477	-1.463	-1.4956	-0.1653	-1.7289	-1.1138	-5.6831
s1	1	11	-0.633	-1.4563	-1.4944	-0.1579	-1.7297	-1.1074	-5.6791
s1	1	12	-0.6424	-1.4607	-1.4987	-0.1669	-1.7591	-1.1199	-2.6042
s2	2	1	-0.6231	-1.3641	-1.654	-0.0964	-2.5357	-0.9993	-5.6496
s2	2	2	-0.6122	-1.3589	-1.6622	-0.0886	-5.6444	-0.9836	-5.3434
s2	2	3	-0.6108	-1.3742	-1.6935	-0.1205	-5.662	-1.0524	-5.662
s2	2	4	-0.6135	-1.3686	-1.7202	-0.1381	-2.7154	-1.083	-5.6696
s2	2	5	-0.6205	-1.3844	-1.6831	-0.1273	-2.5514	-1.0721	-5.3644
s2	2	6	-0.6204	-1.3692	-1.7269	-0.1199	-5.6614	-1.0392	-5.6614
s2	2	7	-0.6285	-1.4037	-1.7274	-0.1995	-2.6167	-1.1735	-5.6959
s2	2	8	-0.6236	-1.3945	-1.7434	-0.2039	-2.6977	-1.1831	-5.3966
s2	2	9	-0.6253	-1.383	-1.7399	-0.2099	-5.699	-1.1871	-5.699
s2	2	10	-0.6151	-1.3707	-1.7394	-0.1522	-2.5278	-1.0976	-5.6739
s2	2	11	-0.6149	-1.3841	-1.7148	-0.1593	-2.5025	-1.1247	-5.3776
s2	2	12	-0.6171	-1.3687	-1.7318	-0.1537	-2.6348	-1.1069	-5.6762
s3	3	1	-0.6152	-1.3832	-1.7201	-0.1826	-2.8435	-1.1741	-5.6886
s3	3	2	-0.6166	-1.3836	-1.6958	-0.1572	-2.6367	-1.117	-5.377
s3	3	3	-0.6137	-1.3737	-1.7141	-0.1918	-2.7375	-1.1759	-5.6918
s3	3	4	-0.6094	-1.3803	-1.69	-0.1779	-2.7826	-1.1632	-5.6857
s3	3	5	-0.6146	-1.3761	-1.6814	-0.1779	-2.7315	-1.1581	-5.3847
s3	3	6	-0.6164	-1.3825	-1.6564	-0.1756	-5.6857	-1.162	-5.6857
s3	3	7	-0.6123	-1.3581	-1.6525	-0.1006	-2.4484	-1.0201	-5.6525
s3	3	8	-0.6157	-1.3795	-1.6877	-0.0875	-2.4706	-0.9887	-5.3457
s3	3	9	-0.6157	-1.3795	-1.6877	-0.0875	-2.4706	-0.9887	-5.6467
s3	3	10	-0.6116	-1.3726	-1.6948	-0.0947	-2.5351	-0.9987	-5.649
s3	3	11	-0.6087	-1.3688	-1.6836	-0.1016	-2.5381	-1.0237	-5.351
s3	3	12	-0.6086	-1.353	-1.6914	-0.081	-2.4947	-0.9743	-5.6408
s4	4	1	-0.6217	-1.3703	-1.6872	-0.1151	-2.4842	-1.067	-5.6603
s4	4	2	-0.6239	-1.3659	-1.6713	-0.1214	-2.5834	-1.0616	-5.3615
s4	4	3	-0.6268	-1.3646	-1.6811	-0.1216	-2.6634	-1.0646	-5.6634
s4	4	4	-0.6164	-1.3827	-1.7062	-0.161	-2.7762	-1.1279	-5.6793
s4	4	5	-0.6127	-1.371	-1.7096	-0.1724	-2.4787	-1.145	-5.3817
s4	4	6	-0.6173	-1.3778	-1.7198	-0.1598	-2.5996	-1.1286	-5.6788
s4	4	7	-0.6105	-1.3773	-1.7284	-0.1233	-2.6215	-1.0619	-5.6629
s4	4	8	-0.611	-1.3654	-1.7122	-0.1308	-5.6664	-1.0765	-5.3654
s4	4	9	-0.6127	-1.3797	-1.6876	-0.1192	-2.6608	-1.0512	-5.6608
s4	4	10	-0.6073	-1.3764	-1.7234	-0.2081	-2.6551	-1.1968	-5.6965
s4	4	11	-0.6101	-1.3865	-1.7538	-0.2096	-2.8532	-1.2013	-5.3972
s4	4	12	-0.6101	-1.3732	-1.7384	-0.2095	-2.6975	-1.2104	-5.6975
s5	5	1	-0.6102	-1.3655	-1.6778	-0.107	-2.5763	-1.0312	-5.6555
s5	5	2	-0.6085	-1.3688	-1.6904	-0.1164	-2.4828	-1.044	-5.3578
s5	5	3	-0.6075	-1.3799	-1.6736	-0.0528	-2.6279	-0.9324	-5.6279
s5	5	4	-0.6192	-1.3541	-1.7052	-0.1196	-2.5133	-1.018	-5.6594
s5	5	5	-0.6311	-1.3883	-1.694	-0.1258	-2.7082	-1.0064	-5.3614
s5	5	6	-0.612	-1.3665	-1.6834	-0.1119	-2.4805	-1.0272	-5.6566
s5	5	7	-0.6079	-1.3853	-1.7347	-0.1743	-2.839	-1.1501	-5.6841
s5	5	8	-0.6059	-1.3794	-1.7257	-0.1751	-2.7305	-1.1597	-5.3837
s5	5	9	-0.6038	-1.3723	-1.725	-0.1774	-2.7298	-1.1577	-5.684
s5	5	10	-0.6122	-1.3563	-1.6528	-0.0772	-2.5256	-0.9521	-5.6396
s5	5	11	-0.6111	-1.3576	-1.6633	-0.0696	-2.4903	-0.948	-5.3354
s5	5	12	-0.6099	-1.362	-1.6794	-0.0749	-2.4624	-0.972	-5.6385
s6	6	1	-0.6976	-1.4986	-1.5155	-0.1712	-1.75	-1.2046	-2.6153
s6	6	2	-0.702	-1.4944	-1.4999	-0.1755	-1.7613	-1.1866	-5.6958
s6	6	3	-0.7002	-1.4881	-1.4881	-0.1746	-1.7605	-1.1912	-5.695
s6	6	4	-0.6382	-1.4822	-1.4903	-0.189	-1.7674	-1.1427	-5.6917
s6	6	5	-0.6306	-1.465	-1.4757	-0.1706	-1.7283	-1.1062	-5.3815
s6	6	6	-0.6273	-1.4531	-1.4558	-0.1418	-1.7311	-1.0568	-5.6706
s6	6	7	-0.6345	-1.4613	-1.486	-0.1473	-1.7004	-1.0714	-2.4694
s6	6	8	-0.6364	-1.4714	-1.5175	-0.2084	-1.8017	-1.1769	-5.6993
s6	6	9	-0.6363	-1.4697	-1.5291	-0.2243	-1.8478	-1.196	-5.7052
s6	6	10	-0.6298	-1.4519	-1.5172	-0.1811	-1.7479	-1.1323	-5.6874
s6	6	11	-0.6406	-1.4626	-1.4954	-0.1608	-1.7163	-1.0879	-5.379
s6	6	12	-0.6319	-1.4456	-1.5158	-0.1777	-1.7723	-1.1238	-5.6861
s7	7	1	-0.905	-2.6311	-1.7792	-0.103	-0.7415	-5.2843	-5.5853
s7	7	2	-0.91	-5.5876	-1.7551	-0.1053	-0.7487	-5.5876	-5.2866
s7	7	3	-0.9059	-5.5907	-1.7983	-0.1129	-0.7481	-5.5907	-5.5907
s7	7	4	-0.9117	-5.3208	-1.8089	-0.1657	-0.8177	-5.3208	-5.6218
s7	7	5	-0.9127	-5.6337	-1.8208	-0.1884	-0.8562	-5.6337	-5.3326
s7	7	6	-0.915	-2.67	-1.8114	-0.1696	-0.8284	-5.6243	-5.6243
s7	7	7	-0.9141	-5.2815	-1.7901	-0.0995	-0.7313	-5.2815	-5.5825
s7	7	8	-0.9049	-5.2815	-1.7313	-0.0979	-0.7313	-5.5825	-5.2815
s7	7	9	-0.9046	-5.5867	-1.7542	-0.1061	-0.7466	-5.5867	-5.5867
s7	7	10	-0.9002	-2.6061	-1.7999	-0.1361	-0.7892	-5.305	-5.6061
s7	7	11	-0.9059	-5.6057	-1.7545	-0.1355	-0.7882	-5.6057	-5.3047
s7	7	12	-0.906	-2.5232	-1.7635	-0.1304	-0.7789	-5.6024	-5.6024
s8	8	1	-0.8336	-5.2585	-1.6787	-0.0864	-0.9322	-5.2585	-5.5595
s8	8	2	-0.8312	-5.5447	-1.6814	-0.068	-0.8886	-5.5447	-5.2437
s8	8	3	-0.8397	-5.5532	-1.6501	-0.08	-0.9157	-5.5532	-5.5532
s8	8	4	-0.8159	-5.574	-1.6819	-0.111	-0.9655	-5.273	-5.574
s8	8	5	-0.8483	-5.5709	-1.7076	-0.104	-0.9549	-5.5709	-5.2699
s8	8	6	-0.8297	-5.2635	-1.6725	-0.0953	-0.9455	-5.5645	-5.5645
s8	8	7	-0.8327	-5.3003	-1.7092	-0.1549	-1.0192	-5.3003	-5.6013
s8	8	8	-0.8264	-5.6031	-1.7281	-0.1574	-1.0326	-5.6031	-5.3021
s8	8	9	-0.8332	-5.5928	-1.6583	-0.1397	-0.9985	-5.5928	-5.5928
s8	8	10	-0.8162	-5.2875	-1.6642	-0.1332	-1.0087	-5.2875	-5.5885
s8	8	11	-0.8133	-5.5951	-1.7142	-0.1453	-1.0051	-5.5951	-5.294
s8	8	12	-0.8209	-5.5888	-1.6967	-0.1346	-0.9911	-5.5888	-5.5888
s9	9	1	-0.9122	-5.3145	-1.8026	-0.149	-0.81	-5.3145	-5.6155
s9	9	2	-0.9088	-5.6103	-1.7652	-0.1426	-0.7954	-5.6103	-5.3093
s9	9	3	-0.9084	-5.6176	-1.7725	-0.1554	-0.8204	-5.6176	-5.6176
s9	9	4	-0.9064	-5.3104	-1.7541	-0.1475	-0.8012	-5.3104	-5.6114
s9	9	5	-0.898	-5.6141	-1.8011	-0.1488	-0.8154	-5.6141	-5.313
s9	9	6	-0.9003	-5.6018	-1.7693	-0.1291	-0.7725	-5.6018	-5.6018
s9	9	7	-0.9078	-2.5367	-1.7456	-0.0923	-0.7274	-5.277	-5.5781
s9	9	8	-0.9026	-5.5775	-1.7514	-0.0878	-0.7208	-5.5775	-5.2765
s9	9	9	-0.9055	-5.5975	-1.7524	-0.1231	-0.7643	-5.5975	-5.5975
s9	9	10	-0.906	-5.6178	-1.7918	-0.1556	-0.8227	-5.3168	-5.6178
s9	9	11	-0.9074	-5.6184	-1.7733	-0.1587	-0.817	-5.6184	-5.3173
s9	9	12	-0.9143	-5.3174	-1.7924	-0.1558	-0.8136	-5.6185	-5.6185
s10	10	1	-0.8398	-5.3241	-1.7275	-0.1912	-1.0848	-5.3241	-5.6251
s10	10	2	-0.8268	-5.6079	-1.7566	-0.1618	-1.0516	-5.6079	-5.3069
s10	10	3	-0.8318	-5.6228	-1.7363	-0.1923	-1.0751	-5.6228	-5.6228
s10	10	4	-0.8387	-5.2811	-1.6901	-0.1193	-0.9867	-5.2811	-5.5822
s10	10	5	-0.8347	-5.5867	-1.6782	-0.1284	-0.9956	-5.5867	-5.2857
s10	10	6	-0.8288	-5.5816	-1.6522	-0.1198	-0.9905	-5.5816	-5.5816
s10	10	7	-0.8291	-2.5042	-1.6489	-0.124	-0.998	-5.2824	-5.5834
s10	10	8	-0.8256	-5.5776	-1.6585	-0.1145	-0.9788	-5.5776	-5.2766
s10	10	9	-0.825	-5.5778	-1.6383	-0.1136	-0.9901	-5.5778	-5.5778
s10	10	10	-0.8249	-5.3078	-1.7058	-0.1664	-1.0611	-5.3078	-5.6088
s10	10	11	-0.8296	-5.607	-1.7149	-0.1642	-1.0519	-5.607	-5.306
s10	10	12	-0.8361	-5.6128	-1.732	-0.1714	-1.0613	-5.6128	-5.6128
s11	11	1	-0.904	-2.4829	-1.7456	-0.1217	-0.7746	-5.2958	-5.5968
s11	11	2	-0.9062	-2.6413	-1.8102	-0.1191	-0.7675	-5.5955	-5.2945
s11	11	3	-0.9103	-5.5587	-1.7458	-0.0636	-0.6773	-5.5587	-5.5587
s11	11	4	-0.9038	-5.5675	-1.748	-0.0754	-0.7036	-5.2665	-5.5675
s11	11	5	-0.9098	-5.6096	-1.7707	-0.1407	-0.796	-5.6096	-5.3086
s11	11	6	-0.8894	-2.5884	-1.7495	-0.1071	-0.7514	-5.5884	-5.5884
s11	11	7	-0.904	-2.4829	-1.7456	-0.1217	-0.7746	-5.2958	-5.5968
s11	11	8	-0.9062	-2.6413	-1.8102	-0.1191	-0.7675	-5.5955	-5.2945
s11	11	9	-0.9103	-5.5587	-1.7458	-0.0636	-0.6773	-5.5587	-5.5587
