s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50
s1	15.9	1.222	0.1519	0.3493	0.01419	5.572	0	0	0	0	0	0	0	0.008477	8.014	1.273e-209	0.001227	3.401e-208	0.05141	8.292e-174	0.9166	0	3.052	0	13.93	1.626e-163	0.003648	0.0001156	0.01823	0.0201	7.447e-05	8.323e-12	2.345e-14	1.229e-07	7.717e-18	1.655e-05	1.918e-08	8.061e-09	0.01386	1.585e-06	4.631e-07	1.256e-11	1.362e-08	6.431e-05	1.423e-14	2.315e-14	2.246e-11	6.779e-05	2.411e-07	0.0009213
s2	1	23.34	28.82	48.86	3.224	0.03551	0	0	0	0	0	0	0	7.664	0.1141	1.724e-263	4.546	4.439e-245	36.37	2.343e-207	39.28	0	46.84	0	0.02134	1.574e-196	3.339e-07	6.955e-12	9.502e-07	7.965e-07	2.765e-12	1.922e-21	1.045e-25	2.196e-16	1.034e-30	3.843e-13	5.059e-17	4.321e-18	4.886e-08	7.344e-15	2.142e-15	3.552e-22	4.203e-17	2.877e-12	3.854e-26	9.98e-26	5.881e-22	1.208e-12	7.08e-15	1.355e-10
s3	1	1	22.89	20.49	23.54	0.0005327	0	0	0	0	0	0	0	39.84	0.002056	1.193e-273	28.46	9.68e-253	26.81	3.937e-214	34.02	0	21.97	0	0.003539	4.034e-204	4.334e-07	4.31e-13	8.662e-07	3.142e-07	1.674e-14	1.106e-22	3.786e-28	1.861e-18	5.898e-34	4.752e-15	3.189e-18	1.409e-20	5.622e-09	6.989e-17	1.345e-18	1.53e-24	3.386e-18	5.772e-14	4.24e-29	1.324e-28	8.691e-25	2.086e-14	1.125e-18	3.403e-12
s4	1	1	1	18.61	1.246	0.02457	0	0	0	0	0	0	0	5.164	0.09238	1.254e-274	4.066	1.972e-251	57.04	2.41e-213	25.39	0	33.3	0	0.002569	1.634e-201	5.203e-09	8.555e-14	1.697e-08	1.804e-08	1.099e-13	4.266e-24	4.432e-28	2.942e-18	4.995e-33	8.115e-15	2.361e-19	7.424e-20	1.182e-09	1.245e-16	2.306e-16	2.063e-24	1.768e-19	5.601e-14	2.978e-28	7.709e-28	7.781e-24	2.223e-14	2.882e-15	3.441e-12
s5	1	1	1	1	38.87	2.743e-06	0	0	0	0	0	0	0	56.54	9.873e-06	2.655e-275	37.96	3.159e-255	2.545	5.256e-216	8.573	0	2.923	0	0.0009353	1.285e-207	9.162e-06	6.15e-13	1.189e-05	1.585e-06	6.576e-16	8.192e-22	8.009e-29	3.085e-19	1.814e-35	7.101e-16	1.222e-17	6.831e-22	7.642e-09	9.763e-18	3.064e-21	2.885e-25	1.854e-17	1.562e-14	1.563e-30	5.946e-30	2.356e-26	4.013e-15	2.918e-22	8.869e-13
s6	1	1	1	1	1	35.71	0	0	0	0	0	0	0	5.219e-06	228.5	6.014e-218	7.962e-07	1.756e-209	0.001547	4.427e-175	0.01037	0	0.09803	0	0.2948	1.602e-162	5.246e-07	1.82e-06	6.273e-06	2.824e-05	0.0001813	1.941e-14	6.909e-15	4.458e-08	4.014e-17	5.547e-06	9.694e-11	1.733e-08	0.0001676	5.945e-07	0.0001863	3.474e-12	4.349e-11	9.346e-06	5.391e-14	6.995e-14	1.041e-10	8.951e-06	0.002265	0.0001282
s7	1	1	1	1	1	1	159900	1.301e-06	1079000	2.203e-08	119.5	2.048e-38	5045	0	0	2.466e-208	0	1.57e-187	0	3.583e-184	0	499700	0	593900000	0	5.077e-179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s8	1	1	1	1	1	1	1	32.73	3.788e-13	33.43	140.2	2.271e-55	3.356e-21	0	0	2.968e-171	0	6.561e-199	0	5.228e-186	0	2.065e-18	0	4.401e-16	0	1.183e-179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s9	1	1	1	1	1	1	1	1	45.12	2.34e-12	1.37e+13	3.626e-34	0.04255	0	0	3.1e-182	0	7.086e-164	0	2.8e-160	0	6.705	0	41.29	0	2.394e-154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s10	1	1	1	1	1	1	1	1	1	185.6	0.1498	1.33e-54	4.56e-22	0	0	4.581e-173	0	7.95e-200	0	7.525e-188	0	2.59e-17	0	1.866e-14	0	6.534e-179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
