s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50
s1	13.5	1.029	0.1312	0.3004	0.01237	6.766	0	0	0	0	0	0	0	0.007455	9.191	3.327e-210	0.001088	2.444e-206	0.04543	1.965e-172	0.7677	0	2.489	0	10.51	3.078e-163	0.006877	0.0001045	0.03092	0.02349	6.738e-05	1.13e-11	1.694e-14	1.078e-07	6.129e-18	1.485e-05	2.129e-08	7.475e-09	0.01228	1.404e-06	5.422e-07	9.709e-12	1.698e-08	5.563e-05	1.206e-14	1.956e-14	2.026e-11	5.744e-05	9.282e-07	0.0007845
s2	1	22.79	27.2	44.46	3.167	0.04753	0	0	0	0	0	0	0	7.609	0.144	5.256e-264	4.589	3.924e-243	33.92	6.573e-206	35.54	0	40.93	0	0.01856	3.465e-196	7.407e-07	7.538e-12	1.883e-06	1.091e-06	3.049e-12	3.206e-21	9.412e-26	2.388e-16	1.037e-30	4.261e-13	6.838e-17	4.979e-18	5.139e-08	8.05e-15	2.847e-15	3.412e-22	6.381e-17	3.057e-12	4.107e-26	1.061e-25	6.602e-22	1.253e-12	2.993e-14	1.409e-10
s3	1	1	23.58	19.43	23.95	0.0005882	0	0	0	0	0	0	0	38.6	0.002125	3.899e-274	28.05	9.546e-251	26.48	1.175e-212	31.49	0	20.19	0	0.003121	1.007e-203	8.936e-07	4.876e-13	1.647e-06	4.44e-07	1.691e-14	1.661e-22	3.507e-28	2.029e-18	5.715e-34	5.217e-15	4.257e-18	1.533e-20	6.212e-09	7.631e-17	1.719e-18	1.513e-24	4.952e-18	6.231e-14	4.344e-29	1.359e-28	9.135e-25	2.195e-14	7.039e-18	3.602e-12
s4	1	1	1	19.59	1.148	0.0354	0	0	0	0	0	0	0	4.932	0.1261	3.745e-275	3.971	1.691e-249	53.91	6.638e-212	23.46	0	29.7	0	0.002183	3.499e-201	1.182e-08	9.009e-14	3.389e-08	2.387e-08	1.274e-13	7.411e-24	4.012e-28	3.231e-18	5.266e-33	9.105e-15	3.191e-19	8.949e-20	1.195e-09	1.378e-16	2.932e-16	1.981e-24	2.713e-19	5.918e-14	3.33e-28	8.583e-28	9.211e-24	2.286e-14	9.612e-15	3.548e-12
s5	1	1	1	1	41.02	2.71e-06	0	0	0	0	0	0	0	54.21	9.047e-06	8.657e-276	37.69	3.423e-253	2.537	1.46e-214	8.679	0	2.812	0	0.0008374	4.287e-207	1.641e-05	6.151e-13	1.981e-05	1.963e-06	6.271e-16	8.7e-22	7.021e-29	3.217e-19	1.728e-35	7.45e-16	1.294e-17	7.121e-22	7.725e-09	1.019e-17	3.816e-21	2.679e-25	2.092e-17	1.605e-14	1.562e-30	5.962e-30	2.375e-26	4.012e-15	2.782e-21	8.97e-13
s6	1	1	1	1	1	35.54	0	0	0	0	0	0	0	5.219e-06	189.5	1.894e-218	8.044e-07	1.578e-207	0.002208	1.294e-173	0.01257	0	0.1274	0	0.2922	4.451e-162	1.575e-06	2.039e-06	1.589e-05	4.176e-05	0.0002575	3.937e-14	6.534e-15	5.449e-08	4.917e-17	7.136e-06	1.422e-10	2.482e-08	0.0001825	7.439e-07	0.0002034	3.496e-12	7.438e-11	1.099e-05	7.019e-14	9.014e-14	1.475e-10	1.031e-05	0.006612	0.0001489
s7	1	1	1	1	1	1	1053000	1.704e-06	3174000	3.402e-08	1376	2.476e-38	11370	0	0	8.986e-208	0	6.266e-185	0	7.224e-182	0	1469000	0	1.45e+09	0	3.203e-178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s8	1	1	1	1	1	1	1	15.34	1.661e-13	9.315	313.5	1.51e-56	1.107e-21	0	0	3.441e-172	0	2.178e-197	0	4.557e-185	0	7.12e-19	0	1.468e-16	0	7.4e-180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s9	1	1	1	1	1	1	1	1	60.32	1.534e-12	6.672e+13	1.876e-34	0.03316	0	0	1.975e-182	0	6.821e-162	0	1.289e-158	0	7.43	0	35.65	0	2.865e-154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s10	1	1	1	1	1	1	1	1	1	127.8	0.2803	2.178e-55	9.798e-23	0	0	6.329e-174	0	1.741e-198	0	7.677e-187	0	1.594e-17	0	9.552e-15	0	1.919e-179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.954e-220	0	0	0
